Rank,Block_ID,Lat,Lon,Risk Score (P=High),Prior Rat Count (1 Month),Prior Dumping Count (1 Month),Prior Rat Avg (3 Month),Dumping-Rat Interaction
130,40.7229_-73.9835,40.7229,-73.9835,0.44347983224813065,0.0,0.0,0.0,0.0
131,40.6784_-73.9279,40.6784,-73.9279,0.4383612588374972,0.0,1.0,0.5,0.0
132,40.8332_-73.8955,40.8332,-73.8955,0.4301876417669061,0.0,1.0,0.5,0.0
133,40.904_-73.8421,40.904,-73.8421,0.4255235199850402,0.0,0.0,0.0,0.0
134,40.8095_-73.9129,40.8095,-73.9129,0.4241314837711228,0.0,0.0,0.0,0.0
135,40.7091_-74.0142,40.7091,-74.0142,0.413649424903485,0.0,0.0,0.0,0.0
136,40.5898_-74.1565,40.5898,-74.1565,0.40969651705660765,0.0,0.0,0.5,0.0
137,40.6185_-73.9071,40.6185,-73.9071,0.4024917264378472,0.0,0.0,0.0,0.0
138,40.7637_-73.7704,40.7637,-73.7704,0.4016343555356818,0.0,0.0,0.5,0.0
139,40.8387_-73.8711,40.8387,-73.8711,0.39267426710923814,0.0,0.0,0.0,0.0
