Rank,Block_ID,Lat,Lon,Risk Score (P=High),Prior Rat Count (1 Month),Prior Dumping Count (1 Month),Prior Rat Avg (3 Month),Dumping-Rat Interaction
107,40.7143_-73.897,40.7143,-73.897,0.78231156,1.0,0.0,1.0,0.0
108,40.6805_-73.9223,40.6805,-73.9223,0.7777104,1.0,0.0,0.6666666666666666,0.0
109,40.762_-73.9989,40.762,-73.9989,0.7670473,0.0,0.0,2.0,0.0
110,40.7594_-73.8813,40.7594,-73.8813,0.76321596,2.0,0.0,1.0,0.0
111,40.6299_-73.9584,40.6299,-73.9584,0.75854427,0.0,1.0,1.3333333333333333,0.0
112,40.6761_-73.9567,40.6761,-73.9567,0.75738066,0.0,1.0,1.0,0.0
113,40.8409_-73.9114,40.8409,-73.9114,0.75097716,1.0,0.0,0.5,0.0
114,40.866_-73.8635,40.866,-73.8635,0.7421419,1.0,0.0,0.6666666666666666,0.0
115,40.6435_-74.0167,40.6435,-74.0167,0.7398197,1.0,0.0,0.6666666666666666,0.0
116,40.6872_-73.9554,40.6872,-73.9554,0.73939604,0.0,1.0,0.6666666666666666,0.0
117,40.8367_-73.9392,40.8367,-73.9392,0.73218685,1.0,0.0,0.5,0.0
118,40.7017_-73.91,40.7017,-73.91,0.72831964,1.0,0.0,0.6666666666666666,0.0
119,40.7087_-73.9508,40.7087,-73.9508,0.7277083,1.0,0.0,0.5,0.0
120,40.8342_-73.9296,40.8342,-73.9296,0.72261864,1.0,1.0,1.0,1.0
121,40.6995_-73.9216,40.6995,-73.9216,0.7157799,1.0,1.0,1.0,1.0
122,40.8311_-73.9042,40.8311,-73.9042,0.7060928,0.0,1.0,0.6666666666666666,0.0
123,40.6994_-73.947,40.6994,-73.947,0.7001974,1.0,0.0,0.5,0.0
124,40.6768_-73.9915,40.6768,-73.9915,0.6941718,0.0,2.0,0.6666666666666666,0.0
125,40.6024_-73.9934,40.6024,-73.9934,0.691803,1.0,0.0,0.5,0.0
126,40.701_-73.9096,40.701,-73.9096,0.6831506,0.0,1.0,0.6666666666666666,0.0
127,40.6129_-73.9233,40.6129,-73.9233,0.6785864,0.0,0.0,2.0,0.0
128,40.7053_-73.8982,40.7053,-73.8982,0.67749,0.0,2.0,1.0,0.0
129,40.7353_-74.0051,40.7353,-74.0051,0.6730956,1.0,0.0,0.3333333333333333,0.0
